"GEO_ID","NAME","PBG63_001N",
"Geography","Geographic Area Name"," !!Median family income in 2019 (dollars)",
"1400000US66010950100","Census Tract 9501, Guam, Guam","46250",
"1400000US66010950200","Census Tract 9502, Guam, Guam","42500",
"1400000US66010950300","Census Tract 9503, Guam, Guam","53750",
"1400000US66010950401","Census Tract 9504.01, Guam, Guam","54655",
"1400000US66010950402","Census Tract 9504.02, Guam, Guam","50871",
"1400000US66010950501","Census Tract 9505.01, Guam, Guam","44688",
"1400000US66010950502","Census Tract 9505.02, Guam, Guam","59398",
"1400000US66010950701","Census Tract 9507.01, Guam, Guam","69750",
"1400000US66010950702","Census Tract 9507.02, Guam, Guam","58000",
"1400000US66010950801","Census Tract 9508.01, Guam, Guam","54148",
"1400000US66010950802","Census Tract 9508.02, Guam, Guam","38700",
"1400000US66010950900","Census Tract 9509, Guam, Guam","57902",
"1400000US66010951000","Census Tract 9510, Guam, Guam","58056",
"1400000US66010951100","Census Tract 9511, Guam, Guam","57351",
"1400000US66010951600","Census Tract 9516, Guam, Guam","N",
"1400000US66010951700","Census Tract 9517, Guam, Guam","82105",
"1400000US66010951800","Census Tract 9518, Guam, Guam","47083",
"1400000US66010951901","Census Tract 9519.01, Guam, Guam","N",
"1400000US66010951902","Census Tract 9519.02, Guam, Guam","N",
"1400000US66010952200","Census Tract 9522, Guam, Guam","56176",
"1400000US66010952300","Census Tract 9523, Guam, Guam","63750",
"1400000US66010952400","Census Tract 9524, Guam, Guam","N",
"1400000US66010952700","Census Tract 9527, Guam, Guam","70455",
"1400000US66010952800","Census Tract 9528, Guam, Guam","null",
"1400000US66010952900","Census Tract 9529, Guam, Guam","67407",
"1400000US66010953000","Census Tract 9530, Guam, Guam","54737",
"1400000US66010953101","Census Tract 9531.01, Guam, Guam","81875",
"1400000US66010953102","Census Tract 9531.02, Guam, Guam","71196",
"1400000US66010953200","Census Tract 9532, Guam, Guam","75125",
"1400000US66010953300","Census Tract 9533, Guam, Guam","52171",
"1400000US66010953400","Census Tract 9534, Guam, Guam","N",
"1400000US66010953500","Census Tract 9535, Guam, Guam","null",
"1400000US66010953600","Census Tract 9536, Guam, Guam","80167",
"1400000US66010953900","Census Tract 9539, Guam, Guam","61607",
"1400000US66010954000","Census Tract 9540, Guam, Guam","85795",
"1400000US66010954300","Census Tract 9543, Guam, Guam","82321",
"1400000US66010954400","Census Tract 9544, Guam, Guam","97500",
"1400000US66010954500","Census Tract 9545, Guam, Guam","30000",
"1400000US66010954700","Census Tract 9547, Guam, Guam","61364",
"1400000US66010954800","Census Tract 9548, Guam, Guam","52778",
"1400000US66010955100","Census Tract 9551, Guam, Guam","83558",
"1400000US66010955200","Census Tract 9552, Guam, Guam","71250",
"1400000US66010955300","Census Tract 9553, Guam, Guam","51250",
"1400000US66010955400","Census Tract 9554, Guam, Guam","N",
"1400000US66010955600","Census Tract 9556, Guam, Guam","83750",
"1400000US66010955700","Census Tract 9557, Guam, Guam","69183",
"1400000US66010955800","Census Tract 9558, Guam, Guam","70944",
"1400000US66010955900","Census Tract 9559, Guam, Guam","65179",
"1400000US66010956000","Census Tract 9560, Guam, Guam","60294",
"1400000US66010956100","Census Tract 9561, Guam, Guam","82750",
"1400000US66010956200","Census Tract 9562, Guam, Guam","82240",
"1400000US66010956300","Census Tract 9563, Guam, Guam","57813",
"1400000US66010980100","Census Tract 9801, Guam, Guam","60000",
"1400000US66010980200","Census Tract 9802, Guam, Guam","-",
"1400000US66010980300","Census Tract 9803, Guam, Guam","-",
"1400000US66010980400","Census Tract 9804, Guam, Guam","-",
"1400000US66010990000","Census Tract 9900, Guam, Guam","-",
